x,y,z
-0.005,0.0718517,0.0581179
-0.05,0.0946335,0.0447657
0.001,0.0897482,0.0561036
-0.01175,0.0567614,0.0524562
-0.03,0.175735,-0.00482853
-0.033,0.154781,0.000747651
0.01325,0.0902516,0.0529895
-0.06125,0.122064,0.0426276
-0.0755,0.092807,0.0390385
-0.03525,0.115866,0.032203
0.03925,0.0414064,0.0258394
0.04575,0.0736316,0.0203417
-0.00025,0.0627138,0.0566661
-0.05,0.101528,0.0422275
-0.0505,0.160808,0.00727142
-0.0765,0.106761,0.0351131
-0.00075,0.112155,0.0424915
-0.0705,0.0986033,0.0408257
0.00825,0.0862598,0.0559803
-0.05425,0.128917,0.0357582
-0.07775,0.16428,-0.0254574
-0.02975,0.102244,0.0423554
0.00225,0.0598491,0.0557019
0.032,0.0831767,0.0423366
-0.045,0.162283,0.00612672
-0.04075,0.0683858,0.0416841
-0.05775,0.0953215,0.0445117
-0.03525,0.151075,-0.000192769
-0.03925,0.0584319,0.0402783
0.00425,0.0793155,0.0559702
-0.08125,0.144892,0.0418255
-0.01575,0.0945119,0.0539494
0.01025,0.0970566,0.0493998
-0.0685,0.152607,0.035464
-0.0135,0.11139,0.0414741
0.00925,0.0653326,0.0548701
-0.048,0.0903693,0.0443806
0.019,0.0669686,0.0495946
-0.0565,0.0466085,0.0420604
-0.0915,0.121411,0.0437702
-0.02325,0.113293,0.0374093
-0.0725,0.104072,0.0376524
-0.02725,0.102284,0.0429912
-0.07025,0.139345,0.046915
0.0515,0.0538379,0.0286154
-0.0915,0.115592,0.0405887
-0.0405,0.077636,0.0432197
-0.07775,0.171907,-0.0385837
-0.0645,0.0617943,0.0227735
-0.04925,0.0471424,0.0402842
-0.00225,0.116294,0.0404623
0.01125,0.065207,0.0534303
-0.02325,0.0455713,0.0527139
-0.02225,0.0504679,0.0453459
0.0395,0.0626277,0.0321626
-0.014,0.180334,-0.0222692
-0.0475,0.0659694,0.0381277
0.00975,0.121725,0.0353872
-0.03375,0.177999,-0.00658992
-0.0375,0.0620232,0.0411696
0.00575,0.0724001,0.0563199
0.039,0.0881817,0.0341972
0.00425,0.0972045,0.0520345
-0.033,0.175733,-0.00293735
-0.0705,0.0628751,0.0189644
-0.01075,0.0510124,0.0508956
-0.0695,0.140036,0.0462788
-0.05325,0.0484509,0.0391402
-0.08375,0.144833,0.0397941
-0.01925,0.0468407,0.0513888
-0.0085,0.0457638,0.0477687
0.033,0.0901882,0.0419625
-0.06625,0.0839991,0.0438642
-0.0475,0.134756,0.0186042
-0.057,0.0732459,0.0410543
-0.04825,0.115885,0.0325842
-0.01575,0.0958363,0.0526326
-0.07775,0.122451,0.0520461
-0.01725,0.0694538,0.0542767
-0.05125,0.157144,0.0100696
-0.016,0.0716087,0.0551196
-0.02075,0.09563,0.0490397
-0.06575,0.0428402,0.0113856
-0.04525,0.0952318,0.0432395
0.029,0.0377323,0.025082
-0.087,0.132904,0.0460385
-0.0785,0.0855167,0.0363586
-0.04575,0.0390825,0.0446171
0.00075,0.10934,0.0427432
-0.07575,0.132376,0.0522694
-0.0665,0.141355,0.0429748
-0.01475,0.176514,-0.0200954
-0.01675,0.174989,-0.0181996
0.026,0.0835604,0.0471709
0.028,0.0806162,0.0453853
