x,y,z
0.05375,0.111017,0.0220285
-0.0205,0.055753,0.0492132
0.0075,0.107154,0.0695187
-0.0335,0.136587,0.0826783
0.03075,0.0580873,0.0517383
-0.023,0.0401424,0.0610168
0.0235,0.118591,0.0438949
0.0555,0.086202,0.0451398
0.054,0.0877021,0.0464149
-0.0115,0.13407,0.0984784
-0.068,0.175824,0.0295787
-0.02625,0.0949748,0.0849699
-0.0015,0.144917,0.0844729
-0.0395,0.104569,0.0729912
-0.03525,0.0777539,0.0719117
0.023,0.110477,0.0508435
-0.01225,0.0896281,0.0862905
-0.0165,0.107816,0.083407
-0.0355,0.0693614,0.0614731
-0.00375,0.141546,0.0919093
-0.01825,0.125216,0.0995016
0.0355,0.10458,0.0457906
0.0515,0.0525399,0.0448332
0.03675,0.072429,0.0566797
-0.0515,0.171482,0.0363133
0.00125,0.0591372,0.0629027
-0.025,0.0387578,0.0611409
-0.01075,0.069978,0.0769477
0.001,0.0529257,0.0630222
-0.0135,0.0792982,0.0833011
0.06175,0.0691799,0.0345743
-0.02275,0.0458957,0.0558357
-0.04125,0.0915127,0.0731129
0.04725,0.0520131,0.0467355
0.06175,0.0543097,0.02608
-0.01575,0.155244,0.0789576
0.01725,0.123248,0.0374192
0.0055,0.0729794,0.0720302
0.018,0.114684,0.0507259
-0.03425,0.0878416,0.0797021
0.04575,0.0889652,0.0547857
-0.0085,0.184667,0.0120532
0.0175,0.12661,0.0322057
-0.03025,0.104302,0.0812533
0.032,0.0375317,0.0627055
-0.03425,0.145587,0.0830352
0.03,0.0979989,0.0537114
-0.024,0.0833862,0.0837783
0.04825,0.0763274,0.0532087
0.061,0.050548,0.0236765
-0.00425,0.14566,0.0882866
-0.0415,0.100372,0.0716745
-0.051,0.15713,0.0462459
-0.05075,0.169335,0.0402522
0.0215,0.0361089,0.0624694
-0.03925,0.157908,0.0545018
-0.05925,0.157548,0.0310129
-0.02625,0.051785,0.0443284
-0.05475,0.166453,0.0421625
-0.00175,0.0386095,0.0787935
-0.04075,0.126099,0.0790906
0.057,0.104684,0.0244307
0.0625,0.0421864,-0.00150508
0.05625,0.078514,0.0453819
0.06125,0.0415289,-0.000830077
0.00625,0.123816,0.0506091
-0.0225,0.101073,0.0846076
0.061,0.0785318,0.0369915
-0.00475,0.102951,0.0814933
0.00475,0.0663372,0.066389
0.00575,0.0835609,0.0767071
0.01575,0.124603,0.0356386
0.05025,0.0887124,0.0508327
-0.0375,0.133764,0.0804042
-0.00975,0.0757875,0.0816241
0.0525,0.0354433,0.0305402
-0.03775,0.105352,0.0749068
-0.07325,0.178008,0.0239914
-0.014,0.0438805,0.0566824
-0.01575,0.148414,0.0893051
0.00825,0.0634047,0.0643468
0.03825,0.0465686,0.0487472
0.05875,0.0931969,0.0345859
-0.0355,0.153129,0.0751235
-0.0035,0.127256,0.0991608
-0.0255,0.120385,0.0940647
0.00725,0.111772,0.0646104
-0.02875,0.0394175,0.0607787
-0.068,0.162457,0.0176762
-0.041,0.114255,0.0744262
0.0515,0.065424,0.0478984
-0.0035,0.102256,0.081254
0.03525,0.0681437,0.0552343
-0.00575,0.0949748,0.0849699
0.0135,0.0837706,0.0699962
-0.017,0.0862273,0.0858138
0.03,0.038941,0.0628216
-0.0375,0.102015,0.0767037
0.019,0.0956782,0.061974
0.066,0.0465904,-0.00150107
-0.014,0.134062,0.097799
-0.0385,0.121419,0.0830418
-0.01,0.184671,0.0106577
0.02275,0.0948778,0.0601773
0.045,0.113813,0.0338518
-0.027,0.136676,0.0867496
0.05025,0.0831826,0.0516623
0.018,0.0819299,0.0634039
0.02025,0.0624655,0.0539058
-0.01075,0.105774,0.0834079
0.0695,0.0645049,-0.0107198
-0.01175,0.088281,0.0862915
-0.043,0.132163,0.0719046
-0.02975,0.131885,0.0884
-0.006,0.161109,0.0256749
-0.0425,0.0975438,0.0703574
0.06675,0.0795891,0.0238929
-0.0335,0.0927498,0.0819764
0.014,0.0779752,0.0657978
-0.00225,0.0464066,0.07409
0.02975,0.058076,0.0516182
-0.0675,0.159518,0.0188239
0.005,0.12583,0.0471953
0.05025,0.0761903,0.0514103
0.05775,0.0945766,0.0339517
-0.0115,0.0903016,0.0862899
0.02625,0.0594152,0.0510205
-0.00475,0.136101,0.0967791
